k,color,lat,lon
2,0,40.67151618610204,-73.9725420075463
2,1,40.77188183768733,-73.86321203248782
3,0,40.702860270198904,-73.80860118433415
3,1,40.80907810273225,-73.91496121304608
3,2,40.662813998401575,-73.97506919896296
4,0,40.81556178244648,-73.90883741825908
4,1,40.704048526724485,-73.80374254086729
4,2,40.58874580854853,-74.12542925383794
4,3,40.67658644407285,-73.95807698531073
5,0,40.70626369848677,-73.80457671959647
5,1,40.84558522764371,-73.89153670199747
5,2,40.58858835047449,-74.12591286021487
5,3,40.75006932342362,-73.9587883707696
5,4,40.65157656831359,-73.94959366868439
6,0,40.64127559226978,-73.96498421772445
6,1,40.84408653642206,-73.8934014222666
6,2,40.69964109571002,-73.89216639255011
6,3,40.748770274333864,-73.97068167868717
6,4,40.588456618931076,-74.12636204520425
6,5,40.70466395490453,-73.78399794207013
